Category,Generator,pid,lat,lon,Capacity_MW,ISO,State,EIA Plant ID,EIA Gen ID,coord_source,cluster_id,cluster_centroid_lat,cluster_centroid_lon,cluster_capacity_mw,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),array_type,module_type,dc_ac_ratio
PV_SUN,(3K) 59 Hetcheltown Rd (P3101),s1,42.87657,-73.91048,1.4,NYISO,NY,66729,P3101,original,0,42.8189006,-73.91168667,50.3,178,20,1.7,0,0,1.214285714
PV_SUN,100 Brook Hill Drive Solar (BHD),s2,41.09305,-73.9828,2,NYISO,NY,63292,BHD,original,5,41.09795,-73.962,4,173,5,2.5,0,0,1.25
PV_SUN,100 Lower (100LR),s3,41.294,-74.539,2,NYISO,NY,65620,100LR,original,6,41.3455746,-74.53455667,27.8,180,25,2.9,0,0,1.45
PV_SUN,1639 RT 29 Solar 1 (19822),s4,43.043,-74.2494,4,NYISO,NY,65785,19822,original,24,43.02264969,-74.31503692,80.7,180,25,6,0,0,1.5
PV_SUN,1639 RT 29 Solar 2 (19823),s5,43.043,-74.2494,2.5,NYISO,NY,65786,19823,original,24,43.02264969,-74.31503692,80.7,180,25,3.7,0,0,1.48
PV_SUN,"25 Ashdown Road Solar, LLC (ASHDO)",s6,42.8826,-73.879,4,NYISO,NY,62998,ASHDO,original,0,42.8189006,-73.91168667,50.3,0,25,5.8,0,0,1.45
PV_SUN,3104 Batavia Solar (20205),s7,42.9994,-78.27517,3,NYISO,NY,66036,20205,original,32,43.009954,-78.231715,28,180,25,4.5,0,0,1.5
PV_SUN,3232 Batavia Solar (20206),s8,43.00024,-78.26818,4,NYISO,NY,66037,20206,original,32,43.009954,-78.231715,28,180,60,5,0,0,1.25
PV_SUN,3715 Oxford RD (20148),s9,43.039,-75.283,3.8,NYISO,NY,67033,20148,original,35,43.039,-75.283,3.8,,,,,,
PV_SUN,456 Lower (456LR),s10,41.311,-74.522,1.4,NYISO,NY,65621,456LR,original,6,41.3455746,-74.53455667,27.8,180,25,1.7,0,0,1.214285714
PV_SUN,6140 Route 209 - North (7140),s11,41.7876,-74.2889,4,NYISO,NY,64046,7140,original,44,41.7866,-74.25895,8,180,25,5.6,0,0,1.4
